,Unnamed: 0,Location ID,City Area,Name,Address,Latitude,Longitude,Rating,Total Reviews,Place ID,Google Maps URL,Nearby Flag,Nearby Salon Address,Distance to Nearby Salon (km)
124,263,LOC_9,Mogappair,Naturally Yours,"Thiruvalluvar Salai, Block 11, J J Nagar, Mogappair East, Chennai, Tamil Nadu 600037, India",13.0826994,80.180015,4.1,17,ChIJl4yqRfxjUjoRgDNMWmknmOo,https://www.google.com/maps/place/?q=place_id:ChIJl4yqRfxjUjoRgDNMWmknmOo,Yes,"No 1 C8 Kamaraj Square, Valayapathi St, Mogappair East, Chennai, Tamil Nadu 600037, India",0.88
125,266,LOC_1,Moulivakkam,Naturals Salon Moulivakkam,"5/214, Kundrathur Main Rd, Rajiv Gandhi Nagar, Moulivakkam, Chennai, Tamil Nadu 600116, India",13.0191528,80.1424103,4.6,477,ChIJYZa1DVhgUjoRcBiCa4pApyE,https://www.google.com/maps/place/?q=place_id:ChIJYZa1DVhgUjoRcBiCa4pApyE,Yes,"1st & 2nd Floor, 173, Sankaralinganar St, above Apollo, Gerugambakkam, Chennai, Tamil Nadu 600122, India",0.97
126,267,LOC_2,Moulivakkam,Naturals Salon,"No 1, 1st Floor, Thirupurasundari Avenue, Mugalivakkam Main Rd, Subbiah Nagar, Thiripurasundari Avenue, Mugalivakkam, Chennai, Tamil Nadu 600125, India",13.0217831,80.1531722,4.9,975,ChIJXfh6HY9hUjoREBOBIWU-0GY,https://www.google.com/maps/place/?q=place_id:ChIJXfh6HY9hUjoREBOBIWU-0GY,No,None,0.0
127,275,LOC_8,Mudichur,Naturals Salon,"Amaanath Tower 8th Street Corner, W Near, Mudichur Rd, Krishna Nagar, Tambaram, Chennai, Tamil Nadu 600045, India",12.9222974,80.0957184,4.6,1179,ChIJtzsp1wD1UjoR5sZ5YfZ4htc,https://www.google.com/maps/place/?q=place_id:ChIJtzsp1wD1UjoR5sZ5YfZ4htc,No,None,0.0
128,278,LOC_1,Mudichur Manimangalam,Naturals Salon,"1st Floor, Nawab Habibulla Nagar, Plot No 26, Mudichur Rd, next to City Union Bank, Manimangalam, Chennai, Tamil Nadu 600048, India",12.9135642,80.0709372,4.9,795,ChIJIZ-Imdv1UjoRZmD64mN4OWo,https://www.google.com/maps/place/?q=place_id:ChIJIZ-Imdv1UjoRZmD64mN4OWo,No,None,0.0
129,281,LOC_4,Mudichur Manimangalam,Naturals Salon,"32A Kamarajar, Nehru Nedunchalai, above Indian Bank, New Perungalathur, Chennai, Tamil Nadu 600063, India",12.9051863,80.09334439999999,4.8,1948,ChIJadpDL731UjoRjsUoPGRcFNs,https://www.google.com/maps/place/?q=place_id:ChIJadpDL731UjoRjsUoPGRcFNs,No,None,0.0
130,290,LOC_1,Mylapore,Naturals Signature Salon,"2nd Floor, 36, Dr Radha Krishnan Salai, Sullivan Garden, Mylapore, Chennai, Tamil Nadu 600004, India",13.0443041,80.2666764,4.6,1284,ChIJIc_tNi5mUjoRx4Cp4l1o9RI,https://www.google.com/maps/place/?q=place_id:ChIJIc_tNi5mUjoRx4Cp4l1o9RI,Yes,"No.220, Mowbrays Flats, TT Krishnamachari Rd, next to Dr.Agarwals Eye Hospital, Alwarpet, Chennai, Tamil Nadu 600018, India",0.78
131,291,LOC_2,Mylapore,Naturals Salon,"28/10, Venkataswamy St, opposite Apollo Pharmacy, Pattinapakkam, Santhome, Mylapore, Chennai, Tamil Nadu 600004, India",13.030194,80.275652,4.8,430,ChIJ05jy-4dnUjoR8hWlWTOTQok,https://www.google.com/maps/place/?q=place_id:ChIJ05jy-4dnUjoR8hWlWTOTQok,Yes,"SN 112/220, 1st Flr, Ramakrishna Mutt Rd Tiruchanur Tiruchanur, Sankarapuram, Mylapore, Chennai, Tamil Nadu 600004, India",0.95
132,292,LOC_3,Mylapore,Naturals Salon,"SN 112/220, 1st Flr, Ramakrishna Mutt Rd Tiruchanur Tiruchanur, Sankarapuram, Mylapore, Chennai, Tamil Nadu 600004, India",13.0322273,80.2671606,4.8,205,ChIJYZbz09JnUjoR_64SC_bUiFM,https://www.google.com/maps/place/?q=place_id:ChIJYZbz09JnUjoR_64SC_bUiFM,Yes,"No: 24-25, Venkatakrishna Rd, above Spencer's Daily, Perumal Koil Thottam, Ramakrishna Nagar, Mandaveli, Chennai, Tamil Nadu 600028, India",0.87
133,294,LOC_5,Mylapore,"Naturals Training Academy, Mylapore, Chennai","Naturals training academy Yellow pages, Bus Stop, 25, Dr Radha Krishnan Salai, Dwarka Colony, Mylapore, Chennai, Tamil Nadu 600004, India",13.0443993,80.2685532,4.8,117,ChIJcfuCXS5mUjoR0myCbISvHzs,https://www.google.com/maps/place/?q=place_id:ChIJcfuCXS5mUjoR0myCbISvHzs,Yes,"No.220, Mowbrays Flats, TT Krishnamachari Rd, next to Dr.Agarwals Eye Hospital, Alwarpet, Chennai, Tamil Nadu 600018, India",0.99
